ID number,Suspended,Quiz:Quiz1 - 1.1 DefineSymbol (Real),Quiz:Quiz2 - 1.1 DefineSymbol (Real),Quiz:Quiz3 - 1.1 DefineSymbol (Real),Quiz:Quiz4 - 1.1 DefineSymbol (Real),Quiz:Quiz5 - 1.1 DefineSymbol (Real),Quiz:Quiz6 - 1.1 DefineSymbol (Real),Quiz:Quiz7 - 1.1 DefineSymbol (Real),Quiz:Quiz8 - 1.1 DefineSymbol (Real),Quiz:Quiz9 - 1.1 DefineSymbol (Real),Quiz:Quiz10 - 1.1 DefineSymbol (Real),Quiz:Quiz11 - 1.1 DefineSymbol (Real),1.1 DefineSymbol total (Real),Quiz:Quiz1 - 1.2 GiveSymbol (Real),Quiz:Quiz2 - 1.2 GiveSymbol (Real),Quiz:Quiz3 - 1.2 GiveSymbol (Real),Quiz:Quiz4 - 1.2 GiveSymbol (Real),Quiz:Quiz5 - 1.2 GiveSymbol (Real),Quiz:Quiz6 - 1.2 GiveSymbol (Real),Quiz:Quiz7 - 1.2 GiveSymbol (Real),Quiz:Quiz8 - 1.2 GiveSymbol (Real),Quiz:Quiz9 - 1.2 GiveSymbol (Real),Quiz:Quiz10 - 1.2 GiveSymbol (Real),Quiz:Quiz11 - 1.2 GiveSymbol (Real),1.2 GiveSymbol total (Real),Quiz:Quiz1 - 2.1 TranscribeMulti (Real),Quiz:Quiz2 - 2.1 TranscribeMulti (Real),Quiz:Quiz3 - 2.1 TranscribeMulti (Real),Quiz:Quiz4 - 2.1 TranscribeMulti (Real),Quiz:Quiz5 - 2.1 TranscribeMulti (Real),Quiz:Quiz6 - 2.1 TranscribeMulti (Real),Quiz:Quiz7 - 2.1 TranscribeMulti (Real),Quiz:Quiz8 - 2.1 TranscribeMulti (Real),Quiz:Quiz9 - 2.1 TranscribeMulti (Real),Quiz:Quiz10 - 2.1 TranscribeMulti (Real),Quiz:Quiz11 - 2.1 TranscribeMulti (Real),2.1 TranscribeMulti total (Real),Quiz:Quiz1 - 2.2 TranscribeC (Real),Quiz:Quiz2 - 2.2 TranscribeC (Real),Quiz:Quiz3 - 2.2 TranscribeC (Real),Quiz:Quiz4 - 2.2 TranscribeC (Real),Quiz:Quiz5 - 2.2 TranscribeC (Real),Quiz:Quiz6 - 2.2 TranscribeC (Real),Quiz:Quiz7 - 2.2 TranscribeC (Real),Quiz:Quiz8 - 2.2 TranscribeC (Real),Quiz:Quiz9 - 2.2 TranscribeC (Real),Quiz:Quiz10 - 2.2 TranscribeC (Real),Quiz:Quiz11 - 2.2 TranscribeC (Real),2.2 TranscribeC total (Real),Quiz:Quiz1 - 2.3 TranscribeV (Real),Quiz:Quiz2 - 2.3 TranscribeV (Real),Quiz:Quiz3 - 2.3 TranscribeV (Real),Quiz:Quiz4 - 2.3 TranscribeV (Real),Quiz:Quiz5 - 2.3 TranscribeV (Real),Quiz:Quiz6 - 2.3 TranscribeV (Real),Quiz:Quiz7 - 2.3 TranscribeV (Real),Quiz:Quiz8 - 2.3 TranscribeV (Real),Quiz:Quiz9 - 2.3 TranscribeV (Real),Quiz:Quiz10 - 2.3 TranscribeV (Real),Quiz:Quiz11 - 2.3 TranscribeV (Real),2.3 TranscribeV total (Real),Quiz:Quiz7 - 2.4 TranscribeTone (Real),Quiz:Quiz8 - 2.4 TranscribeTone (Real),Quiz:Quiz9 - 2.4 TranscribeTone (Real),Quiz:Quiz10 - 2.4 TranscribeTone (Real),Quiz:Quiz11 - 2.4 TranscribeTone (Real),Assignment:Ibibio transcription assignment (Real),2.4 TranscribeTone total (Real),Quiz:Quiz1 - 2.5 TranscribeKnown (Real),Quiz:Quiz2 - 2.5 TranscribeKnown (Real),Quiz:Quiz3 - 2.5 TranscribeKnown (Real),Quiz:Quiz4 - 2.5 TranscribeKnown (Real),Quiz:Quiz5 - 2.5 TranscribeKnown (Real),Quiz:Quiz6 - 2.5 TranscribeKnown (Real),Quiz:Quiz7 - 2.5 TranscribeKnown (Real),Quiz:Quiz8 - 2.5 TranscribeKnown (Real),Quiz:Quiz9 - 2.5 TranscribeKnown (Real),Quiz:Quiz10 - 2.5 TranscribeKnown (Real),Quiz:Quiz11 - 2.5 TranscribeKnown (Real),Assignment:Kannada transcription submission (Real),Assignment:Asynchronous Kannada transcription submission (Real),Assignment:Japanese-accented English transcription (Real),2.5 TranscribeKnown total (Real),Quiz:Quiz3 - 3.1 ReadVocalTract (Real),Quiz:Quiz4 - 3.1 ReadVocalTract (Real),Quiz:Quiz5 - 3.1 ReadVocalTract (Real),Quiz:Quiz6 - 3.1 ReadVocalTract (Real),Quiz:Quiz7 - 3.1 ReadVocalTract (Real),Quiz:Quiz8 - 3.1 ReadVocalTract (Real),Quiz:Quiz9 - 3.1 ReadVocalTract (Real),Quiz:Quiz10 - 3.1 ReadVocalTract (Real),Quiz:Quiz11 - 3.1 ReadVocalTract (Real),3.1 ReadVocalTract total (Real),Quiz:Quiz4 - 3.2 GesturalScore (Real),Quiz:Quiz5 - 3.2 GesturalScore (Real),Quiz:Quiz6 - 3.2 GesturalScore (Real),Quiz:Quiz7 - 3.2 GesturalScore (Real),Quiz:Quiz8 - 3.2 GesturalScore (Real),Quiz:Quiz9 - 3.2 GesturalScore (Real),Quiz:Quiz10 - 3.2 GesturalScore (Real),Quiz:Quiz11 - 3.2 GesturalScore (Real),3.2 GesturalScore total (Real),Quiz:Quiz6 - 4.1 SegmentSpectro (Real),Quiz:Quiz7 - 4.1 SegmentSpectro (Real),Quiz:Quiz8 - 4.1 SegmentSpectro (Real),Quiz:Quiz9 - 4.1 SegmentSpectro (Real),Quiz:Quiz10 - 4.1 SegmentSpectro (Real),Quiz:Quiz11 - 4.1 SegmentSpectro (Real),4.1 SegmentSpectro total (Real),Quiz:Quiz6 - 4.2 ReadSpectro (Real),Quiz:Quiz7 - 4.2 ReadSpectro (Real),Quiz:Quiz8 - 4.2 ReadSpectro (Real),Quiz:Quiz9 - 4.2 ReadSpectro (Real),Quiz:Quiz10 - 4.2 ReadSpectro (Real),Quiz:Quiz11 - 4.2 ReadSpectro (Real),Assignment:Formant plots (Real),4.2 ReadSpectro total (Real),Quiz:Quiz6 - 4.3 IdentifyDisplay (Real),Quiz:Quiz7 - 4.3 IdentifyDisplay (Real),Quiz:Quiz8 - 4.3 IdentifyDisplay (Real),Quiz:Quiz9 - 4.3 IdentifyDisplay (Real),Quiz:Quiz10 - 4.3 IdentifyDisplay (Real),Quiz:Quiz11 - 4.3 IdentifyDisplay (Real),4.3 IdentifyDisplay total (Real),Quiz:Quiz6 - 4.4 ReadFrequency (Real),Quiz:Quiz7 - 4.4 ReadFrequency (Real),Quiz:Quiz8 - 4.4 ReadFrequency (Real),Quiz:Quiz9 - 4.4 ReadFrequency (Real),Quiz:Quiz10 - 4.4 ReadFrequency (Real),Quiz:Quiz11 - 4.4 ReadFrequency (Real),4.4 ReadFrequency total (Real),Quiz:Quiz6 - 4.5 HarmonicsFormants (Real),Quiz:Quiz7 - 4.5 HarmonicsFormants (Real),Quiz:Quiz8 - 4.5 HarmonicsFormants (Real),Quiz:Quiz9 - 4.5 HarmonicsFormants (Real),Quiz:Quiz10 - 4.5 HarmonicsFormants (Real),Quiz:Quiz11 - 4.5 HarmonicsFormants (Real),4.5 HarmonicsFormants total (Real),Quiz:Quiz1 - 5 Apply (Real),Quiz:Quiz2 - 5 Apply (Real),Quiz:Quiz3 - 5 Apply (Real),Quiz:Quiz4 - 5 Apply (Real),Quiz:Quiz5 - 5 Apply (Real),Quiz:Quiz6 - 5 Apply (Real),Quiz:Quiz7 - 5 Apply (Real),Quiz:Quiz8 - 5 Apply (Real),Quiz:Quiz9 - 5 Apply (Real),Quiz:Quiz10 - 5 Apply (Real),Quiz:Quiz11 - 5 Apply (Real),5 Apply total (Real),Assignment:Preliminary Report submission (Real),Assignment:Revised recording script (Real),Turnitin Assignment:Term paper (Real),Assignment:Section participation (Real),Assignment:Final audio recording (Real),Assignment:Final video recording (Real),Course total (Real)
12,,1,-,2,2.33,4.42,7.42,6.17,7.67,-,-,-,31,2,-,2,1,1,0,3,5,-,-,-,14,-,-,-,-,-,-,-,-,6,17,18,41,-,0,1,0,0,3,4,2,5,2,-,17,-,-,-,-,-,1,2,2,0,2,-,7,-,-,1.83,3,2.33,2,9.17,-,-,-,-,-,-,-,-,1,0,4,84,-,6.5,19.9,1,1,4,3.67,2.33,-,3,0,-,15,-,-,-,-,-,1,1.5,2,4.5,-,0,-,0.75,2.25,1.5,4.5,-,-,2,2,-,-,2.5,6.5,-,0.5,1,0,-,-,4,-,1,1,0,-,-,2,-,1,3,2,-,-,6,-,-,-,-,-,-,-,-,1,1,1,3,3,10,42,1,-,-,75.4
13,,1.75,-,2,2.42,3.33,7.67,-,-,-,-,-,17.17,2,-,2,2,2,7,-,-,-,-,-,15,-,-,-,-,-,-,-,-,9,19,-,28,-,1,0,1,3,2,1,2,-,-,-,10,-,-,-,-,-,3,1,2,-,-,-,6,-,-,3.67,-,-,2.5,6.17,-,-,-,-,-,-,-,-,1,2,4,90,-,7.2,23.2,0.67,1.67,3.33,4,-,-,-,-,-,9.67,-,-,-,-,-,2,-,-,2,-,1.5,-,0.75,0.75,3,6,-,-,1,2,2,-,3,8,-,1,2,-,-,-,6,-,1,3,-,-,-,4,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,1,1,0,2,3,10,44,1,-,-,70.93
14,,1.75,-,2,2.33,4.67,6.17,5.25,6.17,-,-,-,28.33,2,-,1,2,2,0,4,5,-,-,-,16,-,-,-,-,-,-,-,-,9,18,-,27,-,1,0,1,3,1,1,2,2,-,-,11,-,-,-,-,-,0,2,1,3,-,-,6,-,-,1.17,3.33,-,2.7,7.2,-,-,-,-,-,-,-,-,0,3,2,89,-,7,20.9,0.67,2,3.33,3.33,2,-,-,-,-,11.33,-,-,-,-,-,2,2,0.75,4.75,-,0,-,3,0,1.5,4.5,-,-,2,-,-,-,3,5,-,1,2,-,-,-,6,-,0,2,-,-,-,2,-,3,3,-,-,-,6,-,-,-,-,-,-,-,-,1,1,0,2,3,10,42,1,-,-,71.82
15,,1.75,-,1.67,2.33,4.17,8,8,7.67,9.33,-,-,42.92,2,-,2,1,3,5,5,8,8,-,-,34,-,-,-,-,-,-,-,-,7,18,-,25,-,0,0,1,1,1,4,3,5,-,-,15,-,-,-,-,-,3,4,0,4,-,-,11,-,-,3.83,2.67,-,2.3,8.8,-,-,-,-,-,-,-,-,0,1,3,-,95,9.1,22.6,0.67,1.67,2,3.33,3,-,3.67,-,-,14.33,-,-,-,-,-,3,-,-,3,-,0,-,0,1.5,1,2.5,-,-,2,1,2,-,3,8,-,2,1.5,1,-,-,7.5,-,3,0,2,-,-,5,-,4,4,4,-,-,12,-,-,-,-,-,-,-,-,1,1,0,2,3,9.9,40,1,-,-,75.99
16,,1.75,-,1.33,2,5,7.5,6.83,-,9.33,-,-,33.75,2,-,1,1,5,7,5,-,8,-,-,29,-,-,-,-,-,-,-,-,8,18,-,26,-,0,0,3,2,2,3,-,5,-,-,15,-,-,-,-,-,2,3,-,1,-,-,6,-,-,2.83,4,-,2.8,9.63,-,-,-,-,-,-,-,-,0,2,1,93,-,7.8,20.1,0.67,1.67,3.67,2.67,3.67,-,3.67,-,-,16,-,-,-,-,-,-,0.25,2,2.25,-,0,-,0,3,1.5,4.5,-,-,-,1,1,-,3,5,-,0,-,0,2,-,5,-,1,-,2,-,-,3,-,4,-,3,-,-,7,-,-,-,-,-,-,-,-,1,1,1,3,3,9.9,49,1,-,-,75.53
17,,2,-,2,3,5,7.75,7.17,-,9.08,10,9.33,55.33,2,-,1,2,3,8,6,-,9,9,7,47,-,-,-,-,-,-,-,-,-,18,18,36,-,1,0,0,2,2,0,-,2,4,2,13,-,-,-,-,-,1,2,-,1,3,1,8,-,-,-,3,4.17,2.4,9.57,-,-,-,-,-,-,-,-,0,3,4,97,-,8.7,25.4,0.33,1.67,4,3.67,4,-,3.67,4,3.67,25,-,-,-,-,-,-,3,3,6,-,0.75,-,1.5,1.5,1.5,5.25,-,-,-,2,2,2,3,9,-,2,-,0,2,2,9,-,2,-,3,1,0,6,-,4,-,2,4,1,11,-,-,-,-,-,-,-,-,1,1,1,3,3,10,45,1,-,-,79
18,,2,-,1.75,3,3.83,7.08,8,-,-,-,-,25.67,2,-,1,1,4,-,6,-,-,-,-,14,-,-,-,-,-,-,-,-,10,19,-,29,-,1,1,1,3,-,2,3,-,-,-,11,-,-,-,-,-,-,1,3,3,4,-,11,-,-,-,5,-,2.6,7.6,-,-,-,-,-,-,-,-,0,4,6,92,-,9.4,28.6,1,2,3.67,-,4,-,-,-,-,10.67,-,-,-,-,-,3,3,3,9,-,2.25,-,1,1.5,2.25,7,-,-,2,2,1,-,2,7,-,2,1,-,-,-,5,-,2,3,-,-,-,5,-,4,3,-,-,-,7,-,-,-,-,-,-,-,-,1,1,0,2,3,10,41,1,-,-,74.4
19,,2,-,2,-,-,-,6.17,7.42,-,-,-,17.58,2,-,2,-,-,-,5,6,-,-,-,15,-,-,-,-,-,-,-,-,5,17,-,22,-,0,0,-,-,-,1,1,1,3,4,10,-,-,-,-,-,-,4,2,-,-,-,6,-,-,4.67,-,-,2.4,7.07,-,-,-,-,-,-,-,-,0,4,-,95,-,8.3,21.8,1,-,-,-,3.33,-,3.67,-,-,8,-,-,-,-,-,2.5,-,-,2.5,-,0,-,3,2.25,-,5.25,-,-,2,0,1,-,2.8,5.8,-,1,2,-,-,-,5.8,-,2,2,-,-,-,4,-,2,2,-,-,-,4,-,-,-,-,-,-,-,-,1,1,1,3,3,-,38,0.5,-,-,72.68
20,,2,-,-,3,4.17,-,6.58,7.67,-,-,-,23.42,1,-,-,2,4,-,5,5,-,-,-,17,-,-,-,-,-,-,-,-,7,15,20,42,-,0,-,0,0,-,2,2,3,2,3,12,-,-,-,-,-,-,1,4,-,-,-,5,-,-,-,4.67,5,2.3,11.97,-,-,-,-,-,-,-,-,0,3,3,86,-,0,14.6,-,2,3.67,-,-,-,-,-,-,5.67,-,-,-,-,-,3,3,3,9,-,2,-,3,-,-,5,-,-,1,0,2,-,0,3,-,2,1.5,-,-,-,3.5,-,1,2,-,-,-,3,-,2,3,-,-,-,5,-,-,-,-,-,-,-,-,1,1,1,3,3,9,45,0.75,-,-,73.45
21,,1.75,-,2,3,4.42,7,-,-,-,-,-,18.17,2,-,1,1,5,4,-,-,-,-,-,13,-,-,-,-,-,-,-,-,7,-,16,23,-,0,0,0,1,1,-,2,0,1,0,5,-,-,-,-,-,1,-,1,4,-,-,6,-,-,4.5,-,-,1.8,6.3,-,-,-,-,-,-,-,-,4,1,8,91,-,9.1,31.2,0.67,1.33,3.33,4,-,-,-,-,-,9.33,-,-,-,-,-,3,-,-,3,-,-,-,0,1,3,4,-,-,1,0,2,2,2,7,-,-,0.5,0,2,-,4.5,-,-,1,2,-,-,3,-,-,1,2,4,-,7,-,-,-,-,-,-,-,-,1,0,1,2,3,10,47,1,-,-,69.74
22,,1.75,-,2,3,-,7.33,-,7.17,-,-,-,21.25,1,-,0,-,-,6,-,6,-,-,-,13,-,-,-,-,-,-,-,-,10,20,-,30,-,2,1,1,-,1,-,2,4,-,-,11,-,-,-,-,-,2,-,4,-,-,-,6,-,-,3.33,-,-,2.1,5.43,-,-,-,-,-,-,-,-,2,-,-,97,-,8.3,20,1,1.67,-,3.67,-,-,-,-,-,6.33,-,-,-,-,-,1,3,-,4,-,-,-,2,2,2.33,6.33,-,-,2,-,-,-,3,5,-,-,1.5,0,2,-,6.5,-,-,2,-,-,-,2,-,-,3,-,-,-,3,-,-,-,-,-,-,-,-,1,1,1,3,3,10,50,1,-,-,71.82
23,,1.75,-,1.17,1.33,4.33,5.58,6.67,-,-,-,-,20.83,2,-,2,2,3,1,1,-,-,-,-,11,-,-,-,-,-,-,-,-,-,18,-,18,-,1,0,0,2,2,2,1,2,-,-,10,-,-,-,-,-,1,2,1,2,-,-,6,-,-,-,3.33,-,2,5.33,-,-,-,-,-,-,-,-,0,5,5,78,-,6.6,24.4,0.67,1.67,3,2,3.33,-,-,-,-,10.67,-,-,-,-,-,-,1,1,2,-,0,-,0,2.14,2.57,4.71,-,-,1,2,1,-,3,7,-,0,1.5,0,1,-,5.5,-,0,0,1,2,-,3,-,2,3,3,-,-,8,-,-,-,-,-,-,-,-,1,1,1,3,3,5,46,1,-,-,72.65
24,,2,-,0.33,2.67,4.67,6.83,6.75,5,-,-,-,28.25,2,-,1,2,1,5,5,5,-,-,-,21,-,-,-,-,-,-,-,-,6,14,-,20,-,0,1,0,0,1,1,1,1,4,3,12,-,-,-,-,-,1,2,3,-,-,-,6,-,-,4,-,-,2.6,6.6,-,-,-,-,-,-,-,-,0,0,0,-,80,6.6,14.6,0.67,1.67,2.67,2.67,3.67,-,-,-,-,11.33,-,-,-,-,-,1,3,-,4,-,1,-,0.75,3,1,5.75,-,-,2,0,1,-,2.8,5.8,-,2,1.5,-,-,-,6.3,-,1,2,-,-,-,3,-,2,2,-,-,-,4,-,-,-,-,-,-,-,-,1,1,0,2,3,10,40,1,-,-,71.75
25,,2,-,-,2.67,5,7.17,6.75,-,-,-,-,23.58,2,-,-,2,3,5,8,-,-,-,-,20,-,-,-,-,-,-,-,-,6,18,-,24,-,0,-,0,0,6,1,4,-,-,-,11,-,-,-,-,-,2,3,2,-,-,-,7,-,-,2.5,-,-,2.7,5.2,-,-,-,-,-,-,-,-,0,0,1,92,-,7.5,17.7,-,1.67,3,4,4,-,-,-,-,12.67,-,-,-,-,-,1.5,3,-,4.5,-,0,-,0,3,3,6,-,-,2,2,-,-,3,7,-,2,-,-,-,-,5,-,1,2,-,-,-,3,-,3,-,-,-,-,3,-,-,-,-,-,-,-,-,1,1,1,3,3,9,46,0.75,-,-,73.92
26,,2,-,1.75,3,2.75,7.5,7.42,-,-,-,-,24.42,2,-,2,2,3,3,6,-,-,-,-,18,-,-,-,-,-,-,-,-,10,20,-,30,-,0,0,0,1,4,3,-,7,-,-,15,-,-,-,-,-,3,3,-,-,-,-,6,-,-,2.17,3.33,-,2.4,7.9,-,-,-,-,-,-,-,-,3,4,6,98,-,7.3,30.1,1,2,4,3.67,4,-,-,-,-,14.67,-,-,-,-,-,3,3,-,6,-,2,-,3,-,-,5,-,-,1,1,1,-,3,6,-,2,1,-,-,-,6,-,2,2,-,-,-,4,-,2,4,-,-,-,6,-,-,-,-,-,-,-,-,1,1,1,3,3,10,49,1,-,-,76.1
27,,1.75,-,2,3,4.42,6.33,6.08,7.25,-,-,-,30.83,2,-,1,2,2,4,5,7,-,-,-,23,-,-,-,-,-,-,-,-,9,17,-,26,-,0,0,1,2,2,1,0,5,-,-,11,-,-,-,-,-,1,2,2,-,-,-,5,-,-,3,-,-,2.5,5.5,-,-,-,-,-,-,-,-,1,1,0,91,-,8.9,20,1,2,3,4,3.33,-,-,-,-,13.33,-,-,-,-,-,3,-,-,3,-,1,-,2.63,-,3,6.62,-,-,1,2,-,-,3,6,-,0.5,1,0,-,1,5.5,-,1,1,-,-,-,2,-,2,4,-,-,-,6,-,-,-,-,-,-,-,-,1,1,0,2,3,8,46,1,-,-,71.85
28,,1.75,-,1.33,2.75,4.5,6.42,-,-,-,-,-,16.75,2,-,2,2,2,5,-,-,-,-,-,13,-,-,-,-,-,-,-,-,8,17,-,25,-,2,0,0,1,3,3,-,5,-,6,20,-,-,-,-,-,2,4,-,-,-,-,6,-,-,3.67,5,-,2.4,11.07,-,-,-,-,-,-,-,-,3,3,5,95,-,8.9,29.4,1,2,3.67,-,-,-,-,-,-,6.67,-,-,-,-,-,1.5,2,3,6.5,-,0,-,2,2.25,3,7.25,-,-,2,1,-,2,3,8,-,2,-,-,-,0.5,5.5,-,3,-,-,-,0,3,-,2,-,-,-,3,5,-,-,-,-,-,-,-,-,1,1,0,2,3,9,50,1,-,-,73.28
29,,1.5,-,2,3,4,-,7.08,7.33,-,-,-,24.92,1,-,1,2,2,-,3,4,-,-,-,13,-,-,-,-,-,-,-,-,8,17,-,25,-,1,0,1,1,-,3,0,1,1,2,10,-,-,-,-,-,-,2,1,3,-,-,6,-,-,3,2.5,-,0.8,6.3,-,-,-,-,-,-,-,-,0,0,3,-,87,7.5,19.2,1,2,4,-,2.33,-,-,-,-,9.33,-,-,-,-,-,3,-,-,3,-,1,-,1.5,1.13,1.31,4.94,-,-,2,1,-,2,2.5,7.5,-,2,1,-,-,-,5.5,-,0,2,-,-,-,2,-,1,3,-,-,-,4,-,-,-,-,-,-,-,-,1,1,1,3,2,8,38,1,-,-,72.35
30,,1.75,-,2,1.75,3.5,7.33,7.75,7.67,-,-,-,31.75,2,-,0,2,2,2,4,7,-,-,-,19,-,-,-,-,-,-,-,-,10,16,-,26,-,0,0,0,3,1,3,1,2,-,-,10,-,-,-,-,-,-,4,1,-,-,-,5,-,-,4.67,4.33,3.33,2.8,15.13,-,-,-,-,-,-,-,-,0,0,0,90,-,6.7,15.7,1,1.33,1.67,-,2,-,-,-,-,6,-,-,-,-,-,0,-,2,2,-,1,-,1.5,0.38,1,3.87,-,-,2,-,-,-,3,5,-,2,0.5,-,-,-,5.5,-,2,2,-,-,-,4,-,2,3,-,-,-,5,-,-,-,-,-,-,-,-,1,1,0,2,3,10,39,0.5,-,-,71.36
31,,2,-,1.75,2.67,3.58,6.67,6.25,7.67,8.33,-,-,38.92,1,-,2,2,2,3,2,4,-,-,-,16,-,-,-,-,-,-,-,-,9,15,-,24,-,-,0,1,1,0,1,1,0,4,2,10,-,-,-,-,-,1,1,2,0,2,-,6,-,-,2.33,-,-,1.8,4.13,-,-,-,-,-,-,-,-,1,2,-,91,-,8.7,20.8,1,1.33,3,4,4,-,-,-,-,13.33,-,-,-,-,-,3,3,-,6,-,1.5,-,1,0,0.75,3.25,-,-,1,1,1,-,2.5,5.5,-,2,1.5,-,-,-,6,-,2,2,-,-,-,4,-,0,2,-,-,-,2,-,-,-,-,-,-,-,-,1,1,-,2,3,10,46,1,-,-,71.18
32,,2,-,1.67,3,4.67,8,-,-,-,-,-,19.33,2,-,1,2,2,7,-,-,-,-,-,14,-,-,-,-,-,-,-,-,9,17,-,26,-,2,0,1,1,3,1,6,4,-,-,18,-,-,-,-,-,1,2,4,1,-,-,8,-,-,2.67,2.67,3.33,2,10.67,-,-,-,-,-,-,-,-,5,3,4,99,-,8,29.9,0.67,2,3.67,4,4,-,-,-,-,14.33,-,-,-,-,-,2.25,3,-,5.25,-,1.5,-,3,3,-,7.5,-,-,2,2,1,-,3,8,-,2,2,-,-,-,7,-,1,0,3,-,-,4,-,2,4,-,-,-,6,-,-,-,-,-,-,-,-,1,1,0,2,3,10,50,1,-,-,75.56
33,,2,-,1.5,3,4.67,8,6.75,7.75,8,-,-,41.67,2,-,1,1,3,5,6,6,6,-,-,30,-,-,-,-,-,-,-,-,10,17,-,27,-,0,0,0,2,1,3,4,0,-,-,10,-,-,-,-,-,2,1,4,3,-,-,10,-,-,5,4.17,-,2.6,11.77,-,-,-,-,-,-,-,-,2,3,4,98,-,8.5,27.3,1,2,4,3.67,4,-,-,-,-,14.67,-,-,-,-,-,2,-,-,2,-,2,-,3,3,2.57,10.57,-,-,2,2,2,-,3,9,-,2,1.5,-,-,-,6.5,-,3,3,-,-,-,6,-,2,4,-,-,-,6,-,-,-,-,-,-,-,-,1,1,1,3,3,9.9,49,1,-,-,77.88
34,,1,-,0.67,2.33,3.67,5.92,6.83,6,8.42,-,-,34.83,0,-,2,0,2,1,2,7,3,-,-,17,-,-,-,-,-,-,-,-,8,-,-,8,-,0,0,0,0,0,-,0,1,-,1,2,-,-,-,-,-,4,-,3,3,-,-,10,-,-,1.5,1.67,-,2,5.17,-,-,-,-,-,-,-,-,-,0,-,94,-,6.2,15.6,0.67,2,2.67,3,-,-,-,3,-,11.33,-,-,-,-,-,-,1,3,4,-,-,-,-,1.5,1.13,2.63,-,-,1,-,1,2,2.8,6.8,-,-,0.5,-,1,0,4.3,-,-,-,-,3,0,3,-,-,-,-,3,2,5,-,-,-,-,-,-,-,-,-,1,0,1,3,9.9,43,0.5,-,-,66.61
35,,2,-,2,2.67,4.67,7.67,8,7,7.42,6.58,8.42,56.42,2,-,1,1,3,6,7,6,9,5,7,47,-,-,-,-,-,-,-,-,7,20,16,43,-,0,-,0,2,1,2,2,4,4,2,17,-,-,-,-,-,1,2,1,2,3,2,11,-,-,3,3.17,2.67,1.9,10.73,-,-,-,-,-,-,-,-,2,3,-,97,-,7.1,21.8,-,1.67,3.67,3,4,-,4,3.33,4,23.67,-,-,-,-,-,2,3,3,8,-,2,-,2,3,1.5,8.5,-,-,2,2,1,1,3,9,-,2,1.5,0,2,0.5,9,-,3,1,3,1,0,8,-,3,1,4,2,4,14,-,-,-,-,-,-,-,-,1,1,0,2,3,10,50,1,-,-,80.11
36,,1.75,-,2,2.67,4.08,6.92,2,6.42,-,-,-,25.83,2,-,2,2,4,0,-,3,7,-,-,20,-,-,-,-,-,-,-,-,9,15,-,24,-,2,0,1,-,1,1,1,3,5,-,14,-,-,-,-,-,0,3,1,3,-,-,7,-,-,5,5,-,2.5,12.5,-,-,-,-,-,-,-,-,3,2,5,91,-,8.1,27.2,0.67,2,4,4,-,-,-,-,-,10.67,-,-,-,-,-,2.75,-,-,2.75,-,2,-,3,-,-,5,-,-,2,2,1,-,3,8,-,0.5,0,0,2,-,5.5,-,2,2,3,-,-,7,-,1,1,4,-,-,6,-,-,-,-,-,-,-,-,1,1,1,3,3,10,41,0.75,-,-,76.43
37,,1.75,-,1.75,3,-,4,7.25,2.42,8.92,-,-,29.08,2,-,2,2,-,1,6,4,3,-,-,20,-,-,-,-,-,-,-,-,9,19,-,28,-,1,0,0,-,2,2,2,2,2,-,11,-,-,-,-,-,1,3,4,3,-,-,11,-,-,4.33,5,-,2.1,11.43,-,-,-,-,-,-,-,-,0,0,3,98,-,7.8,20.6,1,1.67,-,4,3.33,-,-,-,-,10,-,-,-,-,-,2,0,-,2,-,1,-,2,1.5,2.63,7.13,-,-,0,0,2,2,1.5,5.5,-,2,1,-,-,-,4.5,-,2,2,-,-,-,4,-,2,2,-,-,-,4,-,-,-,-,-,-,-,-,1,1,1,3,2,9,46,1,-,-,75.03
38,,-,-,2,-,3.5,-,-,4.67,8.42,-,-,18.58,-,-,2,-,2,-,-,3,8,-,-,15,-,-,-,-,-,-,-,-,8,19,-,27,-,-,0,-,1,-,-,3,1,4,3,12,-,-,-,-,-,-,-,3,3,6,4,16,-,-,4.5,5,-,2.4,11.9,-,-,-,-,-,-,-,-,0,2,3,89,-,6.7,20.6,0.67,-,2.67,-,-,-,3.33,-,4,10.67,-,-,-,-,-,0.5,-,2.5,3,-,-,-,2.25,2.63,2.63,7.5,-,-,2,1,-,2,3,8,-,-,1.5,0,-,1,5.5,-,-,2,3,-,-,5,-,-,3,4,-,-,7,-,-,-,-,-,-,-,-,1,1,0,2,3,8,38,0.5,-,-,75.71
39,,2,-,2,3,5,8,8,7.67,9.33,9,-,54,2,-,2,2,3,6,7,6,10,9,-,47,-,-,-,-,-,-,-,-,9,18,-,27,-,1,0,1,2,2,3,3,4,3,-,19,-,-,-,-,-,1,2,4,4,5,-,16,-,-,4,4.67,-,3,11.67,-,-,-,-,-,-,-,-,0,0,-,99,-,9.4,19.3,0.67,2,3.67,3.33,4,-,4,4,-,21.67,-,-,-,-,-,3,3,-,6,-,1,-,2.5,2.63,-,6.12,-,-,2,1,2,-,3,8,-,2,2,1,2,-,10,-,2,3,2,2,-,9,-,2,3,2,1,-,8,-,-,-,-,-,-,-,-,1,1,-,2,3,10,43,1,-,-,79.5
